   Date    Average_velocity(km/s)  Correlation_time(minutes)  
1999-09-13   576.5349731445312                 15             
1999-09-14   565.1405029296875                 26             
1999-09-15    567.461669921875                129             
1999-09-16   570.7694702148438                 19             
1999-09-17    531.646240234375                 26             
1999-09-23   524.8781127929688                 42             
1999-09-27   615.9304809570312                 29             
1999-09-28   571.6799926757812                 10             
1999-09-29   538.8817749023438                 52             
1999-09-30   535.6749877929688                 15             
1999-10-06    505.266845703125                 52             
1999-10-10   518.1776733398438                113             
1999-10-11    561.025634765625                 14             
1999-10-12    577.44580078125                  27             
1999-10-13   587.2399291992188                 25             
1999-10-14   616.5979614257812                 20             
1999-10-15   692.6504516601562                 12             
1999-10-16   618.6149291992188                 23             
1999-10-17   516.2948608398438                 15             
1999-10-22   610.9037475585938                 71             
1999-10-23    619.58056640625                  27             
1999-10-24   569.4268188476562                 18             
1999-10-25   564.4966430664062                 23             
1999-11-08   544.6058959960938                 18             
1999-11-09     613.4775390625                  11             
1999-11-10     549.564453125                   16             
1999-11-11   597.2548217773438                 15             
1999-11-12   547.4917602539062                 49             
1999-12-04    637.095458984375                 17             
1999-12-05   655.6415405273438                 12             
1999-12-06   605.6896362304688                 18             
1999-12-08    551.14599609375                  15             
1999-12-09   522.3637084960938                 30             
1999-12-25   515.3461303710938                 37             
1999-12-31   653.8014526367188                 8              
2000-01-01   720.6206665039062                 12             
2000-01-02   677.1272583007812                 19             
2000-01-03   585.4400024414062                 16             
2000-01-04   574.4050903320312                 14             
2000-01-05    521.026611328125                 25             
2000-01-06     532.6806640625                  18             
2000-01-07    518.86767578125                  22             
2000-01-12   565.9935302734375                 10             
2000-01-13     534.7412109375                  13             
2000-01-28    718.07080078125                  9              
2000-01-29   719.8338012695312                 12             
2000-01-30    644.355224609375                 12             
2000-01-31   581.9142456054688                 12             
2000-02-01   527.9929809570312                 15             
2000-02-06    588.54833984375                  17             
2000-02-07   628.7835083007812                 19             
2000-02-12   552.9371948242188                 43             
2000-02-13   558.5405883789062                 15             
2000-02-14   602.8076782226562                 39             
2000-02-15   505.0398864746094                108             
2000-02-24    663.578369140625                 14             
2000-02-25   718.5734252929688                 13             
2000-02-26   647.4315185546875                 14             
2000-02-27     578.3310546875                  14             
2000-02-28   630.3143920898438                 16             
2000-02-29   548.8131713867188                 18             
2000-03-23   562.9486083984375                 19             
2000-03-24   651.0026245117188                 39             
2000-03-25   609.6646118164062                 35             
2000-04-07   571.3557739257812                 47             
2000-04-08    528.614501953125                 24             
2000-04-09   552.3544311523438                 41             
2000-04-20   503.0509948730469                 42             
2000-04-21   502.7821350097656                 34             
2000-05-02   586.6726684570312                 74             
2000-05-03   514.8976440429688                 50             
2000-05-17   506.4657287597656                 83             
2000-05-18    506.45068359375                 117             
2000-05-19   513.1061401367188                 28             
2000-05-23   552.9054565429688                 35             
2000-05-24   634.3716430664062                 36             
2000-05-25   537.5968627929688                 88             
2000-05-30    618.22998046875                  14             
2000-05-31   567.7478637695312                 23             
2000-06-08   671.0172729492188                110             
2000-06-09   604.2281494140625                 63             
2000-06-10   522.5233764648438                 17             
2000-06-11   511.7525939941406                104             
2000-06-12   521.1012573242188                 44             
2000-06-15   555.3515014648438                 33             
2000-06-16   513.1532592773438                 77             
2000-06-24   547.5496215820312                 45             
2000-06-26   513.0504760742188                 36             
2000-06-27     528.7626953125                  36             
2000-07-12   504.0296325683594                 39             
2000-07-13   577.3054809570312                 54             
2000-07-17   639.8444213867188                 26             
2000-07-18   571.9511108398438                 12             
2000-07-19   544.2160034179688                 53             
2000-07-20   530.1419067382812                107             
2000-08-05   520.2886352539062                 29             
2000-08-06   511.2281799316406                 32             
2000-08-12   596.9845581054688                 63             
2000-08-13   551.7235107421875                 67             
2000-08-28    510.84716796875                  29             
2000-08-29   595.9265747070312                 15             
2000-08-30   575.2493896484375                 13             
2000-08-31     544.2490234375                  16             
2000-09-01   500.6416931152344                 23             
2000-09-17    565.964599609375                 33             
2000-09-18   740.7000122070312                 54             
2000-09-19   633.2987670898438                 66             
